lat	lng	height	price	pph	sixfeet	borough	date	where	loc	desc
40.753309	-73.916059	7	75.0	10.714285714285714	64.28571428571428	Queens	2014-12-09	Stand	4700 Northern Blvd, Long Island City, NY 11101	
40.9035651	-73.9048259	5	35.0	7.0	42.0	Bronx	2014-12-06	stand	P.S. 81 Riverdale Ave Bronx NY 10471	fundraiser for the school.  i would have paid more.
40.666361	-73.978715	7	75.0	10.714285714285714	64.28571428571428	Brooklyn	2014-12-04	stand	8th Ave & 8th St Brooklyn NY 11215	Paid to much.
40.7127837	-74.0059413	4	25.0	6.25	37.5	Manhattan	2014-12-03	Stand	Cortelyou/Rugby, New York, NY	
40.787414	-73.977904	4	75.0	18.75	112.5	Manhattan	2014-12-03	stand	255 west 84th street, New York, NY	NO! Totally overpriced, like everything in NYC. I would normally blame this partially on the rent, but does that apply to a sidewalk on the corner of 84th and Broadway? I know the people selling them freeze outside and sleep in nearby vans. I have no idea how they wash.
40.7927713	-73.97133	8	65.0	8.125	48.75	Manhattan	2014-12-03	WS Deli	94th st and Amsterdam Ave	it was a great price. the street stands are way overpriced. $20 for the stand and great service at this place.
40.647617	-73.9735088	6	55.0	9.166666666666666	55.0	Brooklyn	2014-12-03	J & L Landscaping	Caton and 7th Ave, Brooklyn, NY	
40.79467	-73.966654	7	25.0	3.5714285714285716	21.42857142857143	Manhattan	2014-12-03	Whole Foods	808 Columbus Ave., New York, NY 10025	Yes, I think the price was fair. They were having a 50% off sale (for $29.95), but I think that $60 for a tree is excessive. I think the cost of labor and transportation are factored into the cost, but here in NYC there is always a very hefty markup on Christmas trees (and everything else!).
40.7287043	-73.9515657	4	45.0	11.25	67.5	Brooklyn	2014-12-02	Stand	Calyer St, Greenpoint, Brooklyn	"A similar sized tree down the block was going for $120. When I asked the more expensive vendor about the huge price difference he said the cheaper stand was ""illegal."" "
40.694276	-73.992424	9	105.0	11.666666666666666	70.0	Brooklyn	2014-12-02	Stand	Montague and Clinton	It's a beautiful tree, but definitely felt expensive. I guess the ambiance for the month of Dec is priceless though!
40.668862	-73.984734	6	105.0	17.5	105.0	Brooklyn	2013-12-28	Stand	341 9th street Park Slope BK	It's a fair price, these guys work hard to bring us nice trees, they are fresh and they last well.  
